iter	Passed	Remaining
1260	13851	19101
1261	13862	19090
1262	13872	19079
1263	13883	19067
1264	13893	19055
1265	13904	19044
1266	13915	19033
1267	13925	19021
1268	13936	19010
1269	13946	18998
1270	13961	18992
1271	13972	18982
1272	13983	18970
1273	13995	18960
1274	14006	18950
1275	14017	18939
1276	14029	18929
1277	14041	18920
1278	14053	18910
1279	14065	18900
1280	14078	18891
1281	14090	18882
1282	14102	18872
1283	14114	18862
1284	14125	18852
1285	14137	18843
1286	14149	18833
1287	14161	18823
1288	14173	18813
1289	14185	18804
1290	14197	18794
1291	14208	18784
1292	14222	18775
1293	14234	18766
1294	14245	18755
1295	14257	18746
1296	14269	18736
1297	14281	18726
1298	14292	18716
1299	14305	18706
1300	14316	18696
1301	14328	18686
1302	14340	18677
1303	14357	18674
1304	14377	18674
1305	14392	18667
1306	14405	18659
1307	14417	18650
1308	14431	18643
1309	14444	18634
1310	14456	18624
1311	14467	18614
1312	14478	18602
1313	14489	18591
1314	14500	18580
1315	14510	18568
1316	14521	18557
1317	14533	18546
1318	14543	18534
1319	14554	18523
1320	14565	18512
1321	14575	18501
1322	14587	18490
1323	14598	18479
1324	14609	18468
1325	14619	18456
1326	14630	18445
1327	14641	18433
1328	14652	18423
1329	14663	18411
1330	14673	18399
1331	14684	18388
1332	14695	18377
1333	14705	18365
1334	14716	18353
1335	14726	18342
1336	14737	18330
1337	14747	18319
1338	14758	18306
1339	14768	18295
1340	14778	18283
1341	14789	18271
1342	14799	18260
1343	14810	18248
1344	14820	18236
1345	14831	18225
1346	14841	18213
1347	14852	18201
1348	14863	18190
1349	14873	18178
1350	14883	18167
1351	14894	18155
1352	14905	18144
1353	14915	18132
1354	14926	18120
1355	14936	18108
1356	14947	18097
1357	14957	18086
1358	14968	18074
1359	14979	18063
1360	14990	18052
1361	15000	18040
1362	15012	18030
1363	15023	18019
1364	15034	18007
1365	15044	17996
1366	15057	17987
1367	15069	17977
1368	15081	17967
1369	15093	17957
1370	15105	17947
1371	15117	17937
1372	15129	17928
1373	15141	17918
1374	15153	17908
1375	15164	17898
1376	15177	17888
1377	15188	17878
1378	15199	17867
1379	15211	17856
1380	15222	17845
1381	15233	17835
1382	15244	17824
1383	15256	17813
1384	15268	17804
1385	15279	17793
1386	15291	17782
1387	15301	17771
1388	15313	17760
1389	15324	17749
1390	15334	17738
1391	15345	17727
1392	15357	17716
1393	15369	17706
1394	15380	17695
1395	15392	17685
1396	15403	17675
1397	15416	17666
1398	15426	17654
1399	15437	17643
1400	15448	17632
1401	15459	17620
1402	15470	17609
1403	15481	17598
1404	15492	17587
1405	15503	17576
1406	15514	17565
1407	15524	17553
1408	15536	17543
1409	15548	17532
1410	15558	17521
1411	15569	17509
1412	15579	17498
1413	15590	17486
1414	15600	17475
1415	15611	17464
1416	15622	17452
1417	15633	17441
1418	15644	17430
1419	15655	17419
1420	15665	17407
1421	15677	17396
1422	15687	17385
1423	15698	17374
1424	15708	17362
1425	15719	17351
1426	15730	17340
1427	15742	17329
1428	15752	17318
1429	15764	17307
1430	15775	17296
1431	15786	17285
1432	15797	17274
1433	15807	17262
1434	15818	17251
1435	15829	17240
1436	15840	17229
1437	15850	17217
1438	15861	17206
1439	15871	17194
1440	15882	17182
1441	15892	17171
1442	15902	17159
1443	15913	17148
1444	15924	17136
1445	15934	17124
1446	15944	17113
1447	15955	17101
1448	15965	17089
1449	15975	17077
1450	15986	17066
1451	15997	17054
1452	16007	17043
1453	16018	17031
1454	16028	17020
1455	16040	17009
1456	16051	16998
1457	16061	16987
1458	16072	16975
1459	16082	16963
1460	16093	16952
1461	16103	16941
1462	16113	16928
1463	16124	16917
1464	16134	16905
1465	16145	16894
1466	16155	16882
1467	16167	16872
1468	16179	16862
1469	16190	16851
1470	16202	16840
1471	16213	16830
1472	16224	16819
1473	16235	16808
1474	16246	16797
1475	16257	16785
1476	16268	16774
1477	16278	16763
1478	16289	16752
1479	16301	16741
1480	16312	16730
1481	16322	16719
1482	16334	16708
1483	16346	16698
1484	16357	16687
1485	16368	16676
1486	16379	16665
1487	16390	16654
1488	16400	16643
1489	16411	16631
1490	16422	16620
1491	16433	16609
1492	16443	16597
1493	16454	16586
1494	16464	16575
1495	16475	16563
1496	16485	16551
1497	16496	16540
1498	16507	16529
1499	16517	16517
1500	16528	16506
1501	16539	16495
1502	16550	16484
1503	16562	16474
1504	16573	16462
1505	16583	16451
1506	16593	16439
1507	16604	16428
1508	16614	16416
1509	16625	16405
1510	16636	16394
1511	16648	16384
1512	16659	16373
1513	16670	16362
1514	16682	16351
1515	16694	16341
1516	16704	16330
1517	16715	16319
1518	16726	16308
1519	16738	16297
1520	16749	16287
1521	16760	16276
1522	16770	16264
1523	16780	16252
1524	16791	16240
1525	16801	16229
1526	16812	16218
1527	16823	16207
1528	16834	16195
1529	16845	16184
1530	16855	16173
1531	16866	16161
1532	16876	16150
1533	16887	16139
1534	16898	16127
1535	16909	16116
1536	16919	16104
1537	16930	16093
1538	16941	16082
1539	16952	16071
1540	16963	16060
1541	16974	16049
1542	16984	16037
1543	16995	16026
1544	17006	16015
1545	17016	16004
1546	17028	15993
1547	17038	15981
1548	17048	15970
1549	17059	15958
1550	17069	15947
1551	17080	15935
1552	17091	15924
1553	17102	15913
1554	17113	15902
1555	17124	15891
1556	17134	15880
1557	17145	15868
1558	17156	15857
1559	17166	15846
1560	17177	15834
1561	17188	15823
1562	17198	15812
1563	17209	15800
1564	17220	15789
1565	17230	15778
1566	17241	15767
1567	17252	15755
1568	17262	15744
1569	17272	15732
1570	17283	15721
1571	17293	15709
1572	17304	15698
1573	17315	15687
1574	17327	15677
1575	17338	15666
1576	17349	15655
1577	17360	15644
1578	17370	15632
1579	17382	15622
1580	17393	15610
1581	17404	15599
1582	17415	15589
1583	17427	15579
1584	17439	15568
1585	17451	15559
1586	17463	15548
1587	17475	15538
1588	17487	15528
1589	17499	15518
1590	17511	15508
1591	17523	15498
1592	17535	15487
1593	17547	15477
1594	17558	15466
1595	17570	15456
1596	17582	15446
1597	17594	15436
1598	17606	15426
1599	17618	15416
1600	17630	15405
1601	17642	15395
1602	17654	15385
1603	17665	15375
1604	17677	15364
1605	17689	15354
1606	17701	15343
1607	17712	15333
1608	17725	15324
1609	17738	15314
1610	17750	15304
1611	17762	15294
1612	17774	15284
1613	17786	15274
1614	17799	15264
1615	17811	15254
1616	17823	15244
1617	17835	15233
1618	17847	15223
1619	17858	15212
1620	17868	15201
1621	17879	15190
1622	17891	15179
1623	17902	15168
1624	17913	15157
1625	17924	15146
1626	17935	15135
1627	17946	15124
1628	17957	15113
1629	17968	15102
1630	17979	15091
1631	17990	15080
1632	18000	15068
1633	18012	15057
1634	18023	15046
1635	18033	15035
1636	18044	15024
1637	18055	15013
1638	18065	15001
1639	18076	14990
1640	18087	14978
1641	18097	14966
1642	18108	14955
1643	18118	14944
1644	18130	14933
1645	18141	14923
1646	18153	14912
1647	18164	14902
1648	18175	14890
